N°;Departamento;Municipio;Deporte 1;Deporte 2;Deporte 3;Deporte 4;Edad;Género;Grupo étnico;Condición de discapacidad;Grupo Vulnerable;Día inscripción;"Mes
inscripción";Año inscripción
6183;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;15;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6184;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6185;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6186;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6187;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;7;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6188;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6189;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6190;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6191;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;15;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6192;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;14;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6193;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;17;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6194;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6195;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6196;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6197;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;16;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6198;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6199;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6200;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6201;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;7;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6202;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6203;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;15;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6204;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;15;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6205;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6206;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6207;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6208;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6209;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6210;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6211;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;7;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6212;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6213;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6214;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6215;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6216;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;15;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6217;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;15;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6218;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6219;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6220;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6221;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6222;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6223;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;6;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6224;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;7;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6225;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;7;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6226;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6227;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6228;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6229;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6230;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6231;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6232;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6233;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6234;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6235;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Rrom;Ninguna;Ningún;4;6;2.019
6236;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6237;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6238;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6239;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6240;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6241;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6242;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Rrom;Ninguna;Ningún;4;6;2.019
6243;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Rrom;Ninguna;Ningún;4;6;2.019
6244;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6245;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6246;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6247;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6248;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6249;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6250;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;7;Masculino;Afro;Ninguna;Ningún;2;7;2.019
6251;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;2;7;2.019
6252;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;2;7;2.019
6253;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;7;Masculino;Afro;Ninguna;Ningún;2;7;2.019
6254;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;6;Masculino;Afro;Ninguna;Ningún;2;7;2.019
6255;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;2;7;2.019
6256;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;2;7;2.019
6257;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;2;7;2.019
6258;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;2;7;2.019
6259;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;2;7;2.019
6260;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;2;7;2.019
6261;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;1;8;2.019
6262;ATLÁNTICO;SABANAGRANDE;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;1;8;2.019
6263;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;6;Masculino;Afro;Ninguna;Ningún;30;8;2.019
6264;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6265;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;19;6;2.019
6266;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;19;6;2.019
6267;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;26;6;2.019
6268;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;19;6;2.019
6269;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;19;6;2.019
6270;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;19;6;2.019
6271;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;19;6;2.019
6272;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;21;6;2.019
6273;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;26;6;2.019
6274;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;19;6;2.019
6275;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;19;6;2.019
6276;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;17;6;2.019
6277;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;17;6;2.019
6278;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;17;6;2.019
6279;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;17;6;2.019
6280;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;17;6;2.019
6281;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;4;6;2.019
6282;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;26;6;2.019
6283;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;17;6;2.019
6284;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;19;6;2.019
6285;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;19;6;2.019
6286;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;12;7;2.019
6287;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;5;8;2.019
6288;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;21;8;2.019
6289;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;31;8;2.019
6290;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;30;8;2.019
6291;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;19;8;2.019
6292;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;30;8;2.019
6293;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;30;8;2.019
6294;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;30;8;2.019
6295;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;30;8;2.019
6296;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;7;Masculino;Afro;Ninguna;Ningún;30;8;2.019
6297;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;7;Masculino;Afro;Ninguna;Ningún;30;8;2.019
6298;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;30;8;2.019
6299;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;6;Masculino;Afro;Ninguna;Ningún;30;8;2.019
6300;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;1;9;2.019
6301;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;7;Masculino;Afro;Ninguna;Ningún;2;9;2.019
6302;ATLÁNTICO;LURUACO;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;1;9;2.019
6303;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;15;Masculino;Afro;Ninguna;Ningún;24;6;2.019
6304;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;18;6;2.019
6305;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;29;6;2.019
6306;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;18;6;2.019
6307;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;18;6;2.019
6308;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;18;6;2.019
6309;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;18;6;2.019
6310;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;18;6;2.019
6311;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;18;6;2.019
6312;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;18;6;2.019
6313;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;18;6;2.019
6314;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;20;7;2.019
6315;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;20;7;2.019
6316;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;20;7;2.019
6317;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;15;Masculino;Afro;Ninguna;Ningún;20;7;2.019
6318;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;1;7;2.019
6319;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;20;7;2.019
6320;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;20;7;2.019
6321;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;1;7;2.019
6322;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;23;7;2.019
6323;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Femenino;Afro;Ninguna;Ningún;20;7;2.019
6324;ATLÁNTICO;PALMAR DE VARELA;FÚTBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;7;Masculino;Afro;Ninguna;Ningún;20;7;2.019
